Atomic number	Name	Abbreviation	Mass	Number of valence electrons	Valent radius	Electronegativity
1	Hydrogen	H 	1.0082	1	0.31	2.1
2	Helium	He 	4.002602	2	0.28	4.16
3	Lithium	Li 	6.942	1	1.28	0.98
4	Beryllium	Be 	9.012182	2	0.96	1.57
5	Boron	B 	10.812	3	0.82	2.04
6	Carbon	C 	12.0112	4	0.77	2.55
7	Nitrogen	N 	14.0072	5	0.71	3.04
8	Oxygen	O 	15.9992	6	0.66	3.44
9	Fluorine	F 	18.9984032	7	0.64	3.98
10	Neon	Ne 	20.1797	8	0.58	4.787
11	Sodium	Na 	22.98976928	1	1.66	0.93
12	Magnesium	Mg 	24.3059	2	1.41	1.31
13	Aluminium	Al 	26.9815386	3	1.21	1.61
14	Silicon	Si 	28.0854	4	1.11	1.9
15	Phosphorus	P 	30.973762	5	1.06	2.19
16	Sulphur	S 	32.062	6	1.05	2.58
17	Chlorine	Cl 	35.452	7	1.02	3.16
18	Argon	Ar 	39.948	8	1.06	3.242
19	Potassium	K 	39.0983	1	2.03	0.82
20	Calcium	Ca 	40.078	2	1.74	1
21	Scandium	Sc 	44.955912	3	1.7	1.36
22	Titanium	Ti 	47.867	4	1.6	1.54
23	Vanadium	V 	50.9415	5	1.53	1.63
24	Chromium	Cr 	51.9961	6	1.39	1.66
25	Manganese	Mn 	54.938045	7	1.39	1.55
26	Iron	Fe 	55.845	8	1.32	1.83
27	Cobalt	Co 	58.933195	9	1.26	1.88
28	Nickel	Ni 	58.6934	10	1.24	1.91
29	Copper	Cu 	63.546	11	1.32	1.9
30	Zinc	Zn 	65.38	12	1.22	1.65
31	Gallium	Ga 	69.723	3	1.22	1.81
32	Germanium	Ge 	72.63	4	1.22	2.01
33	Arsenic	As 	74.9216	5	1.19	2.18
34	Selenium	Se 	78.96	6	1.2	2.55
35	Bromine	Br 	79.9049	7	1.2	2.96
36	Krypton	Kr 	83.798	8	1.16	3
37	Rubidium	Rb 	85.4678	1	2.2	0.82
38	Strontium	Sr 	87.62	2	1.95	0.95
39	Yttrium	Y 	88.90585	3	1.9	1.22
40	Zirconium	Zr 	91.224	4	1.75	1.33
41	Niobium	Nb 	92.90638	5	1.64	1.6
42	Molybdenum	Mo 	95.96	6	1.54	2.16
43	Technetium	Tc 	98	7	1.47	1.9
44	Ruthenium	Ru 	101.07	8	1.46	2.2
45	Rhodium	Rh 	102.9055	9	1.42	2.28
46	Palladium	Pd 	106.42	10	1.39	2.2
47	Silver	Ag 	107.8682	11	1.45	1.93
48	Cadmium	Cd 	112.411	12	1.44	1.69
49	Indium	In 	114.818	3	1.42	1.78
50	Tin	Sn 	118.71	4	1.39	1.96
51	Antimony	Sb 	121.76	5	1.39	2.05
52	Tellurium	Te 	127.6	6	1.38	2.1
53	Iodine	I 	126.90447	7	1.39	2.66
54	Xenon	Xe 	131.293	8	1.4	2.6
55	Caesium	Cs 	132.9054519	1	2.44	0.79
56	Barium	Ba 	136.327	2	2.15	0.89
57	Lanthanum	La 	138.90547	3	2.07	1.1
58	Cerium	Ce 	140.116	4	2.04	1.12
59	Praseodymium	Pr 	140.90765	5	2.03	1.13
60	Neodymium	Nd 	144.242	6	2.01	1.14
61	Promethium	Pm 	145	7	1.99	1.14
62	Samarium	Sm 	150.36	8	1.98	1.17
63	Europium	Eu 	151.964	9	1.98	1.17
64	Gadolinium	Gd 	157.25	10	1.96	1.2
65	Terbium	Tb 	158.92535	11	1.94	1.2
66	Dysprosium	Dy 	162.5	12	1.92	1.22
67	Holmium	Ho 	164.93032	13	1.92	1.23
68	Erbium	Er 	167.259	14	1.89	1.24
69	Thulium	Tm 	168.93421	1	1.9	1.25
70	Ytterbium	Yb 	173.054	2	1.87	1.25
71	Lutetium	Lu 	174.9668	3	1.87	1.27
72	Hafnium	Hf 	178.49	4	1.75	1.3
73	Tantalum	Ta 	180.94788	5	1.7	1.5
74	Tungsten	W 	183.84	6	1.62	2.36
75	Rhenium	Re 	186.207	7	1.57	1.9
76	Osmium	Os 	190.23	8	1.35	2.2
77	Iridium	Ir 	192.317	9	1.41	2.2
78	Platinum	Pt 	195.084	10	1.36	2.28
79	Gold	Au 	196.966569	11	1.36	2.54
80	Mercury	Hg 	200.592	12	1.32	2
81	Thallium	Tl 	204.389	3	1.45	1.62
82	Lead	Pb 	207.2	4	1.46	2.33
83	Bismuth	Bi 	208.9804	5	1.48	2.02
84	Polonium	Po 	209	6	1.4	2
85	Astatine	At 	210	7	1.45	2.2
86	Radon	Rn 	222	8	1.5	2
87	Francium	Fr 	223	1	2.6	1.5
88	Radium 	Ra 	226	2	2.21	0.9
89	Actinium 	Ac 	227	3	2.15	1.1
90	Thorium 	Th 	232.03806	4	2.06	1.3
91	Protactinium 	Pa 	231.03588	5	2	1.5
92	Uranium 	U 	238.02891	6	1.96	1.38
93	Neptunium	Np	237	7	1.9	1.36
94	Plutonium	Pl	244	8	1.87	1.28
95	Americium	Am	243	9	1.8	1.3
96	Curium	Cm	247	10	1.69	1.3
97	Berkelium	Bk	247	11	1.6	1.3
98	Californium	Cf	251	12	1.6	1.3
99	Einsteinium	Es	252	13	1.6	1.3
100	Fermium	Fm	257	14	1.6	1.3
101	Mendelevium	Md	258	15	1.6	1.3
102	Nobelium	No	259	16	1.6	1.3
103	Lawrencium	Lr	262	3	1.6	1.3
104	Rutherfordium	Rf	267	4	1.57	1.3
105	Dubnium	Db	268	5	1.49	1.3
106	Seaborgium	Sg	269	6	1.43	1.3
107	Bohrium	Bh	270	7	1.41	1.3
108	Hassium	Hs	269	8	1.34	1.3
109	Meitnerium	Mt	278	9	1.29	1.3
110	Darmstadtium	Ds	281	10	1.28	1.3
111	Roentgenium	Rg	282	11	1.21	1.3
112	Copernicium	Cn	285	12	1.22	1.3
113	Ununtrium	Uut	286	13	1.72	1.3
114	Flerovium	Fl	289	14	1.71	1.3
115	Moscovium	Mc	290	15	1.57	1.3
116	Livermorium	Lv	293	16	1.62	1.3
117	Tennessine	Ts	294	17	1.56	1.3
118	Oganesson	Og	294	18	1.5	1.3
119	Ununennium	Uue	315	1	1.57	1.3
120	Unbinilium	Ubn	299	2	2.1	1.3
121	Unbiunium	Ubu	320	3	2.1	1.3
