1	K	1s1/2
2	L	2
3	L1	2s1/2
4	L23	2p
5	L2	2p1/2
6	L3	2p3/2
7	M	3
8	M1	3s1/2
9	M23	3p
10	M2	3p1/2
11	M3	3p3/2
12	M45	3d
13	M4	3d3/2
14	M5	3d5/2
15	N	4
16	N1	4s1/2
17	N23	4p
18	N2	4p1/2
19	N3	4p3/2
20	N45	4d
21	N4	4d3/2
22	N5	4d5/2
23	N67	4f
24	N6	4f5/2
25	N7	4f7/2
26	O	5
27	O1	5s1/2
28	O23	5p
29	O2	5p1/2
30	O3	5p3/2
31	O45	5d
32	O4	5d3/2
33	O5	5d5/2
34	O67	5f
35	O6	5f5/2
36	O7	5f7/2
37	O89	5g
38	O8	5g7/2
39	O9	5g9/2
40	P	6
41	P1	6s1/2
42	P23	6p
43	P2	6p1/2
44	P3	6p3/2
45	P45	6d
46	P4	6d3/2
47	P5	6d5/2
48	P67	6f
49	P6	6f5/2
50	P7	6f7/2
51	P89	6g
52	P8	6g7/2
53	P9	6g9/2
54	P1011	6h
55	P10	6h9/2
56	P11	6h11/2
57	Q	7
58	Q1	7s1/2
59	Q23	7p
60	Q2	7p1/2
61	Q3	7p3/1
62	R1	8
63	R2	8s1/2
64	R2	8p
65	Valence	10
